date,food,outfit,dwelling,health,beauty,remote,money,travel,kids,nonfood,telecom,fun,charity,misc
2020-03-23,5557043.060000049,526383.56,1892699.0999999996,912417.7899999999,217857.5,41195.12,29011764.830000006,2413788.4899999904,213392.62999999998,1097155.4399999997,479179.04000000004,3243136.1200000085,725.44,654951.11
2020-03-24,5928522.930000081,1075730.49,2566816.1199999996,1300345.9999999995,352947.6099999999,39770.8,30817045.180000003,2752045.490000001,233411.9,3546270.1100000013,606883.1499999999,1823978.2199999946,12688.83,431213.66
2020-03-25,7220033.120000121,843707.92,2496187.090000001,1156285.0000000005,352944.74000000005,25907.12000000001,37645306.39999998,2709969.6099999943,312180.64,1314704.74,479250.31999999995,2442398.6599999946,6101.3,557615.6599999999
2020-03-26,7728305.400000123,872088.92,2264185.3499999996,1229543.4899999995,405961.0400000001,32684.17000000001,37511312.20999999,2401418.419999996,222265.02999999994,1409129.0899999992,595984.9199999998,2065953.699999992,6041.97,817697.6100000002
2020-03-27,10175777.630000208,1258555.3999999997,3090969.7600000002,1368585.8199999994,669964.3100000002,93849.83999999995,52318416.8,4579096.410000005,360783.97000000015,2160964.0999999996,624432.6499999999,2810440.519999997,3892.93,658910.5300000003
2020-03-28,8801758.570000157,234008.05,1286898.9099999997,1043842.9499999997,152177.27,60514.52999999999,20807580.25,2029752.8400000008,208490.44,1204436.7499999998,263061.36,1892844.1799999923,3996.3500000000004,486770.89999999997
2020-03-29,6503971.700000047,308778.55,982884.5200000001,741505.6100000005,89388.68,53774.04,13423697.439999998,2100511.6700000013,145779.13999999998,914408.3500000002,337293.2,1917382.5199999977,14108.99,271843.77999999997
2020-03-30,6991528.69000005,286971.76,1149200.62,1160443.5500000005,47075.45000000001,53249.45000000002,28178165.829999994,2075540.9299999974,137117.37,1351071.9899999998,305040.30999999994,1276752.189999998,9346.779999999999,407524.9700000001
2020-03-31,6405899.930000045,240008.38,889727.0250000001,1040697.8650000002,61391.39,35669.42500000001,28092314.740000002,1865059.2299999984,97647.60999999999,969366.0949999999,316165.52999999997,1337314.1699999967,6902.349999999999,310761.78
2020-04-01,5820271.170000041,193045.0,630253.43,920952.18,75707.32999999999,18089.4,28006463.650000013,1654577.5299999993,58177.84999999999,587660.2,327290.75,1397876.1499999953,4457.92,213998.59000000003
2020-04-02,6036454.32000004,166512.37,474298.1500000001,783108.6000000002,63959.73000000001,28702.270000000008,28524716.130000006,1259688.2599999998,107159.84000000001,495512.54999999993,430314.88,1687209.1599999955,2722.29,1438983.4899999995
2020-04-03,6217277.180000066,533633.6299999999,977534.4100000001,655240.3199999998,60388.84000000001,12699.859999999993,28810844.060000014,1473931.1000000013,166533.49000000002,595297.3400000001,366347.76000000007,1658667.7299999972,19615.9,391933.97000000003
2020-04-04,5898846.330000078,123834.43999999999,571642.12,787083.6900000002,77763.75000000001,27193.83,15428875.740000002,1027237.1400000007,119012.08,447099.9799999999,375966.0199999999,1416456.9899999965,3240.2799999999997,359110.99999999994
2020-04-05,5195023.78000005,138732.58000000002,493797.2,428728.51000000024,39519.45,27444.590000000004,12455012.240000002,779630.290000001,117529.36999999997,475883.37999999995,333376.84,1072640.0100000002,1957.6399999999999,284838.45
2020-04-06,4756696.330000037,311132.04000000004,696769.5399999999,606057.66,92499.81,69207.99999999999,22674229.48999998,1623915.5399999998,237242.76,367506.64,486245.09999999986,1293874.9399999976,3700.0,392037.4700000001
